At Epoch 10, loss=0.2734127606158354
At Epoch 20, loss=0.23334438016339212
At Epoch 30, loss=0.21327916132960104
At Epoch 40, loss=0.20001876031920146
At Epoch 50, loss=0.19019778162079914
At Epoch 60, loss=0.18245497283039197
At Epoch 70, loss=0.17610198000273672
At Epoch 80, loss=0.1707410585811568
At Epoch 90, loss=0.1661213039895764
At Epoch 100, loss=0.16207436786535195
At Epoch 110, loss=0.15848200661641854
At Epoch 120, loss=0.15525817331393282
At Epoch 130, loss=0.15233844497689858
At Epoch 140, loss=0.14967344345214315
At Epoch 150, loss=0.14722456563852185
At Epoch 160, loss=0.14496111548599497
At Epoch 170, loss=0.1428583213780799
At Epoch 180, loss=0.14089593159381894
At Epoch 190, loss=0.139057197978707
At Epoch 200, loss=0.1373281267176694
