At Epoch 10, loss=0.2734127606158354
At Epoch 20, loss=0.23334438016339212
At Epoch 30, loss=0.21327916132960104
At Epoch 40, loss=0.20001876031920146
At Epoch 50, loss=0.19019778162079914
At Epoch 60, loss=0.18245497283039197
At Epoch 70, loss=0.17610198000273672
At Epoch 80, loss=0.1707410585811568
At Epoch 90, loss=0.1661213039895764
At Epoch 100, loss=0.16207436786535195
At Epoch 110, loss=0.15848200661641854
At Epoch 120, loss=0.15525817331393282
At Epoch 130, loss=0.15233844497689858
At Epoch 140, loss=0.14967344345214315
At Epoch 150, loss=0.14722456563852185
At Epoch 160, loss=0.14496111548599497
At Epoch 170, loss=0.1428583213780799
At Epoch 180, loss=0.14089593159381894
At Epoch 190, loss=0.139057197978707
At Epoch 200, loss=0.1373281267176694
At Epoch 210, loss=0.13569691682143217
At Epoch 220, loss=0.13415353303110109
At Epoch 230, loss=0.13268937660448205
At Epoch 240, loss=0.13129702846434693
At Epoch 250, loss=0.12997004658183015
At Epoch 260, loss=0.12870280452187824
At Epoch 270, loss=0.12749036159046093
At Epoch 280, loss=0.12632835750232882
At Epoch 290, loss=0.12521292626218403
At Epoch 300, loss=0.1241406252381035
At Epoch 310, loss=0.12310837634936851
At Epoch 320, loss=0.12211341699051455
At Epoch 330, loss=0.12115325883773732
At Epoch 340, loss=0.12022565308054196
At Epoch 350, loss=0.11932856092446968
At Epoch 360, loss=0.1184601284440478
At Epoch 370, loss=0.11761866504622437
At Epoch 380, loss=0.11680262494623517
At Epoch 390, loss=0.11601059116946158
At Epoch 400, loss=0.11524126168137042
At Epoch 410, loss=0.11449343731829316
At Epoch 420, loss=0.11376601124854907
At Epoch 430, loss=0.11305795973925124
At Epoch 440, loss=0.11236833404134691
At Epoch 450, loss=0.11169625323582152
At Epoch 460, loss=0.11104089790891135
At Epoch 470, loss=0.11040150454468951
At Epoch 480, loss=0.10977736054038548
At Epoch 490, loss=0.10916779976391137
At Epoch 500, loss=0.10857219858485118
