At Epoch 10, loss=0.5846080293981545
At Epoch 20, loss=0.45169287880402725
At Epoch 30, loss=0.5016988618210997
At Epoch 40, loss=0.2832420415998014
At Epoch 50, loss=0.2259923148018994
At Epoch 60, loss=0.18524477666526548
At Epoch 70, loss=0.05273186304687157
At Epoch 80, loss=0.09721894216501135
At Epoch 90, loss=nan
At Epoch 100, loss=nan
